experiment_name,video_name,resolution,square_size,to_remove,alpha,bitrate,server_runtime,client_runtime,smoothing_factor,hnerv_ks,hnerv_enc_strds,hnerv_enc_dim,hnerv_fc_hw,hnerv_reduce,hnerv_lower_width,hnerv_dec_strds,hnerv_conv_type,hnerv_norm,hnerv_act,hnerv_workers,hnerv_batchSize,hnerv_epochs,hnerv_lr,hnerv_loss,hnerv_out_bias,hnerv_eval_freq,hnerv_quant_model_bit,hnerv_quant_embed_bit,propainter_neighbor_length,propainter_ref_stride,propainter_subvideo_length,propainter_mask_dilation,propainter_raft_iter,e2fgvi_step,e2fgvi_num_ref,e2fgvi_neighbor_stride,e2fgvi_savefps,mse_ori_mean,psnr_ori_mean,ssim_ori_mean,vmaf_ori_mean,lpips_ori_mean,mse_inp_mean,psnr_inp_mean,ssim_inp_mean,vmaf_inp_mean,lpips_inp_mean,empty
c9b41d1c9641ea68c823979077842048,horsejump-low,1280x704,64,10.0,0.0,1105000,4617,513,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,4,300,0.001,Fusion6,tanh,1,8,6,,,,,,5,-1,2,24,598.3023333333333,20.388333333333332,0.5779499999999999,7.142773466666667,0.04764454867690799,329.3608333333334,22.994666666666664,0.65915,17.546716600000003,0.03502079059059417,
ee41a445c5a6357a206985856557ccf0,longboard,1920x896,64,0.25,0.0,3085000,1011,688,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,2,30,0.01,Fusion6,tanh,1,8,6,,,,,,5,1,4,24,1105.2511538461538,17.83076923076923,0.7133269230769231,3.518813615384616,0.014611457174536359,600.0725,20.498846153846145,0.7306346153846153,4.408383615384615,0.014709975749540737,
eb71c141c034c9240070a7a1c0313a07,miami-surf,960x896,16,20.0,0.75,1396000,404,1095,0.25,,,,,,,,,,,,,,,,,,,,8,4,24,4,30,,,,,2.567714285714286,44.11414285714286,0.9833857142857143,83.2649978,5.6946519492026694e-05,34.50557142857143,32.81842857142857,0.9513857142857142,40.341172871428576,0.0006656994136781572,
afbb00379ab368223337da6439a01d5c,bear,1600x352,16,20.0,0.5,1105000,2724,1536,0.75,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,4,100,0.001,Fusion6,tanh,3,8,6,,,,,,5,1,2,24,202.52756097560973,25.112560975609757,0.6747439024390244,10.13712975609756,0.039902234086539645,303.5119512195122,23.44158536585366,0.6508780487804878,7.853172951219513,0.039443753750585876,
46d5155093c86a5d62819e2758a57645,drift-turn,960x352,16,10.0,0.5,697000,85,619,0.75,,,,,,,,,,,,,,,,,,,,8,2,24,2,3,,,,,24.29546875,34.7490625,0.9159375,92.48640295312501,0.0026322056530715997,102.47703125,28.25453125,0.8356718750000001,60.435934765625,0.008777150011155706,
c9ef6689a6458834b60e63094c988298,car-turn,960x896,16,20.0,0.25,1396000,939,608,0.25,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,4,100,0.001,Fusion6,tanh,10,8,6,16,4,24,0,3,,,,,88.5215,29.217624999999998,0.8221875000000001,33.5017473125,0.01482636897126208,167.08200000000002,25.960250000000002,0.7627124999999999,16.680754362500004,0.018824936822056722,
4e403adf32ad40b24d55c261506ddc38,lucia,960x352,16,0.5,0.25,422000,399,258,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,4,50,0.001,Fusion6,tanh,3,8,6,,,,,,5,-1,4,24,647.4094285714286,20.07257142857143,0.46267142857142857,4.120466899999999,0.05176165210349215,622.0447142857142,20.240142857142857,0.46355714285714283,4.299579214285714,0.04910489948732508,
f71fd738c6ea5f2228262486dc85322d,bike-packing,1600x352,16,10.0,0.25,1239000,51,228,0.5,,,,,,,,,,,,,,,,,,,,8,2,48,2,10,,,,,18.576376811594205,35.5404347826087,0.9459275362318842,88.59292986956524,0.0020806441358560135,87.22333333333334,28.759130434782605,0.9012608695652173,63.91014369565217,0.011721976837008279,
e83b0e8f5563894bcd0e3e31a982a241,bmx-bumps,640x896,16,0.5,0.75,710000,58,237,0.75,,,,,,,,,,,,,,,,,,,,,,,,,10,1,4,24,22.41422222222222,35.81388888888889,0.9135333333333334,75.18203637777778,0.0034345404757105493,172.0408888888889,26.07966666666666,0.8220222222222222,25.616338888888887,0.010117485969789774,
07de1a5366087517d85ed817c0dd38a4,bear,1280x528,16,0.25,0.25,1239000,57,268,0.5,,,,,,,,,,,,,,,,,,,,,,,,,5,1,2,24,22.834024390243904,34.8259756097561,0.9368048780487807,87.95107965853657,0.0021627379670772747,193.95451219512194,25.33231707317073,0.7998048780487805,30.138902963414633,0.029814760427831096,
