video_name,resolution,square_size,to_remove,alpha,bitrate,server_runtime,client_runtime,smoothing_factor,hnerv_ks,hnerv_enc_strds,hnerv_enc_dim,hnerv_fc_hw,hnerv_reduce,hnerv_lower_width,hnerv_dec_strds,hnerv_conv_type,hnerv_norm,hnerv_act,hnerv_workers,hnerv_batchSize,hnerv_epochs,hnerv_lr,hnerv_loss,hnerv_out_bias,hnerv_eval_freq,hnerv_quant_model_bit,hnerv_quant_embed_bit,propainter_neighbor_length,propainter_ref_stride,propainter_subvideo_length,propainter_mask_dilation,propainter_raft_iter,e2fgvi_step,e2fgvi_num_ref,e2fgvi_neighbor_stride,e2fgvi_savefps,mse_ori_mean,psnr_ori_mean,ssim_ori_mean,vmaf_ori_mean,mse_inp_mean,psnr_inp_mean,ssim_inp_mean,vmaf_inp_mean,empty
breakdance-flare,960x1280,16,20.0,0.5,1968000,806,411,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,gelu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,2,24,50.358163265306125,31.14551020408163,0.8559591836734693,46.64370957142858,101.63061224489795,28.071020408163264,0.781387755102041,21.433930734693877,
blackswan,640x640,16,20.0,0.0,510000,635,163,0.25,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,gelu,8,1,100,0.001,Fusion6,tanh,10,8,6,8,2,48,0,10,,,,,104.92857142857143,27.972653061224488,0.8089591836734693,31.954664489795917,192.58551020408163,25.307959183673468,0.7321836734693876,8.303792673469388,
bmx-bumps,1280x640,32,20.0,0.5,1007000,18,68,0.0,,,,,,,,,,,,,,,,,,,,,,,,,10,-1,2,24,34.49551020408163,33.032040816326536,0.8859591836734694,72.00940351020408,275.41,24.13714285714286,0.7805714285714284,16.968047959183675,
bmx-trees,1280x640,16,20.0,0.25,1493000,707,310,0.25,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,gelu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,2,24,34.94877551020408,32.916326530612245,0.9010204081632652,60.29579036734694,99.93510204081632,28.25551020408163,0.8475510204081633,22.245334285714282,
blackswan,1280x1280,32,20.0,0.0,1968000,870,466,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,gelu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,2,24,35.48122448979592,32.65857142857143,0.9040204081632652,52.231638999999994,111.87489795918367,27.669591836734693,0.8522448979591837,19.92963018367347,
bear,1280x960,32,20.0,0.25,1493000,18,91,0.0,,,,,,,,,,,,,,,,,,,,,,,,,10,-1,2,24,33.99734693877551,32.85204081632653,0.914795918367347,73.67640132653061,198.2757142857143,25.202653061224492,0.7432244897959184,11.952524346938775,
blackswan,640x640,16,20.0,0.0,510000,13,41,0.0,,,,,,,,,,,,,,,,,,,,,,,,,10,-1,2,24,32.47897959183674,33.05857142857143,0.8884489795918367,71.69336532653061,160.4391836734694,26.09265306122449,0.7425918367346939,14.111368612244899,
bmx-bumps,1280x960,16,20.0,0.25,2202000,21,93,0.25,,,,,,,,,,,,,,,,,,,,,,,,,10,-1,2,24,17.66081632653061,35.92061224489796,0.9268979591836733,84.03333253061226,114.33265306122449,27.96285714285714,0.8457551020408163,31.391959367346942,
bmx-trees,960x640,16,20.0,0.25,1007000,16,55,0.0,,,,,,,,,,,,,,,,,,,,,,,,,10,-1,2,24,23.15489795918367,34.64122448979592,0.9098979591836737,81.0219784489796,113.1473469387755,27.673673469387754,0.8163061224489795,21.854214979591838,
bmx-bumps,960x1280,16,20.0,0.0,1968000,20,95,0.5,,,,,,,,,,,,,,,,,,,,,,,,,10,-1,2,24,15.701836734693877,36.39877551020408,0.9299591836734693,81.20221885714285,140.17265306122448,27.36081632653061,0.8504897959183674,27.87295742857143,
breakdance-flare,1280x1280,16,20.0,0.25,2888000,952,544,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,gelu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,2,24,42.783061224489806,31.849591836734692,0.8735918367346939,48.97556542857143,82.9004081632653,28.954489795918366,0.8171632653061224,23.33126759183674,
blackswan,960x960,16,20.0,0.0,1493000,887,368,0.25,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,gelu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,2,24,50.13795918367347,31.193877551020407,0.8823673469387755,48.16697991836735,94.35999999999999,28.406530612244893,0.8421632653061225,25.086052653061223,
bear,960x640,32,20.0,0.0,510000,705,244,0.25,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,gelu,8,1,100,0.001,Fusion6,tanh,10,8,6,8,2,48,0,10,,,,,154.65551020408162,26.26530612244898,0.7640204081632654,29.837511469387756,440.10979591836735,21.716326530612243,0.5952244897959184,2.982848795918367,
bmx-trees,960x640,32,20.0,0.0,510000,16,91,0.0,,,,,,,,,,,,,,,,,,,,,,,,,10,-1,2,24,51.449999999999996,31.173877551020407,0.8444897959183674,50.53273071428571,295.5761224489796,23.45612244897959,0.7410816326530612,7.171497163265306,
bmx-bumps,1280x1280,32,20.0,0.0,1968000,1425,516,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,gelu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,2,24,37.96224489795918,32.909795918367344,0.8991224489795917,56.39096751020409,279.6979591836735,24.497346938775507,0.8218979591836736,17.089795653061223,
blackswan,960x640,16,20.0,0.25,1007000,14,67,0.0,,,,,,,,,,,,,,,,,,,,8,2,48,0,10,,,,,25.36795918367347,34.14204081632653,0.9040204081632653,78.30933893877553,101.63795918367346,28.077755102040815,0.7778979591836734,29.211910897959186,
breakdance-flare,960x640,16,20.0,0.5,1007000,13,51,0.5,,,,,,,,,,,,,,,,,,,,,,,,,10,-1,2,24,26.33020408163265,33.96163265306123,0.8957959183673471,77.95653673469388,124.59408163265307,27.183061224489798,0.7078775510204082,13.586197387755103,
bmx-bumps,960x1280,32,20.0,0.5,1007000,16,94,0.5,,,,,,,,,,,,,,,,,,,,,,,,,10,-1,2,24,38.20448979591837,32.60367346938775,0.8726938775510205,55.41886044897959,410.3918367346938,22.607551020408163,0.7787551020408161,10.411860081632652,
