video_name,resolution,square_size,to_remove,alpha,bitrate,server_runtime,client_runtime,smoothing_factor,hnerv_ks,hnerv_enc_strds,hnerv_enc_dim,hnerv_fc_hw,hnerv_reduce,hnerv_lower_width,hnerv_dec_strds,hnerv_conv_type,hnerv_norm,hnerv_act,hnerv_workers,hnerv_batchSize,hnerv_epochs,hnerv_lr,hnerv_loss,hnerv_out_bias,hnerv_eval_freq,hnerv_quant_model_bit,hnerv_quant_embed_bit,propainter_neighbor_length,propainter_ref_stride,propainter_subvideo_length,propainter_mask_dilation,propainter_raft_iter,e2fgvi_step,e2fgvi_num_ref,e2fgvi_neighbor_stride,e2fgvi_savefps,mse_ori_mean,psnr_ori_mean,ssim_ori_mean,vmaf_ori_mean,mse_inp_mean,psnr_inp_mean,ssim_inp_mean,vmaf_inp_mean,empty
blackswan,1280x960,16,20.0,0.5,2202000,741,331,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,62.206734693877564,30.243877551020404,0.869673469387755,38.48444544897959,85.16265306122447,28.859999999999996,0.8369591836734693,28.39016871428571,
bear,960x640,16,20.0,0.0,1007000,28,74,0.0,,,,,,,,,,,,,,,,,,,,16,2,48,0,30,,,,,29.861836734693874,33.419387755102036,0.9289387755102041,82.44008271428572,146.78510204081633,26.516326530612243,0.7724897959183673,35.064063918367346,
bear,960x640,16,20.0,0.0,1007000,528,240,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,24,2,24,0,100,,,,,164.98489795918368,25.991836734693877,0.7566122448979592,24.95911334693878,363.91244897959183,22.554693877551017,0.6513265306122449,7.243732122448979,
bear,960x640,32,10.0,0.5,1007000,518,184,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,16,2,48,0,10,,,,,227.81183673469388,24.59734693877551,0.6887755102040817,11.176269877551022,307.32102040816324,23.37428571428572,0.6836734693877551,10.604000591836735,
bear,960x640,16,20.0,0.0,1007000,524,245,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,16,4,48,0,100,,,,,562.0618367346939,20.763877551020407,0.5804081632653062,4.311797530612245,247.77714285714285,24.229387755102035,0.710612244897959,12.400162938775507,
bear,960x640,16,20.0,1.0,1007000,521,191,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,16,4,48,0,30,,,,,228.13510204081635,24.588571428571427,0.6871224489795917,10.625758816326531,273.58408163265307,23.792653061224488,0.6945102040816327,9.907094857142857,
bear,960x640,16,20.0,0.5,1007000,521,164,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,562.2697959183673,20.762448979591838,0.5804897959183674,4.307346775510204,221.8493877551021,24.702857142857145,0.7193265306122449,13.193593775510204,
bear,960x640,32,10.0,1.0,1007000,537,168,1.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,281.83163265306126,23.66530612244898,0.6437551020408163,5.0415666938775505,261.4789795918368,24.008775510204078,0.7005102040816326,12.416770204081633,
bear,1600x960,32,10.0,1.0,2888000,1117,401,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,113.82938775510203,27.58448979591837,0.8125102040816327,31.076328775510202,132.70612244897958,26.92224489795918,0.8134081632653061,26.676519326530613,
bear,1600x960,64,10.0,1.0,2202000,911,370,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,128.48530612244897,27.06448979591837,0.7955510204081633,26.299779428571433,206.72795918367348,25.111632653061225,0.7682244897959184,19.277786877551023,
bear,1600x1280,32,10.0,1.0,3766000,1506,533,1.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,90.24367346938774,28.583061224489796,0.8457346938775511,30.890997306122447,89.85040816326531,28.613265306122447,0.8542244897959184,34.113343040816325,
bear,1600x1280,32,10.0,0.5,3766000,1522,528,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,89.95448979591838,28.59530612244898,0.8460204081632653,30.968580897959185,91.56142857142858,28.531632653061223,0.8535306122448978,33.36844104081633,
bear,1600x1280,32,20.0,1.0,2888000,1264,528,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,108.94122448979591,27.763673469387758,0.8158979591836735,25.185243979591842,149.27836734693875,26.41530612244898,0.7885714285714286,20.68201348979592,
bear,1280x960,32,10.0,0.0,2202000,852,323,1.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,123.36591836734695,27.229999999999993,0.8028367346938776,28.16186275510204,139.75,26.69020408163265,0.793530612244898,24.163300224489795,
bear,1600x960,32,10.0,1.0,2888000,1113,404,1.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,113.32857142857144,27.60326530612245,0.8118163265306123,31.222736326530608,134.66755102040815,26.85591836734694,0.8087551020408162,26.923211387755103,
bear,1280x640,32,10.0,0.5,1493000,221,221,1.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,gelu,8,1,10,0.01,Fusion6,tanh,1,8,6,,,,,,5,-1,4,24,582.3187755102041,20.578163265306124,0.585469387755102,2.803708387755102,651.1332653061224,20.097755102040818,0.5845102040816326,2.6044026938775513,
bear,1600x960,32,10.0,0.0,2888000,273,437,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,2,10,0.01,Fusion6,tanh,10,8,6,,,,,,5,-1,2,24,607.5079591836735,20.38489795918367,0.6058775510204082,3.72584812244898,661.9602040816326,20.017755102040816,0.6004285714285715,4.233581285714286,
bear,1600x640,64,10.0,0.0,1493000,827,282,1.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,2,100,0.001,Fusion6,tanh,3,8,6,,,,,,10,-1,2,24,138.02142857142857,26.77408163265306,0.7620204081632653,21.00175836734694,287.81142857142856,23.6769387755102,0.6995102040816326,12.125187489795918,
bear,1280x640,32,10.0,1.0,1493000,313,246,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,2,30,0.0001,Fusion6,tanh,10,8,6,,,,,,5,-1,4,24,428.3969387755102,21.86632653061224,0.5870816326530612,0.26348242857142856,614.339387755102,20.301224489795917,0.5790000000000001,2.738837775510204,
bear,1600x640,64,10.0,1.0,1493000,225,263,1.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,2,10,0.01,Fusion6,tanh,10,8,6,,,,,,5,-1,4,24,535.864081632653,20.952448979591832,0.6099795918367347,3.856847408163265,663.500612244898,19.97163265306122,0.601469387755102,4.471956755102041,
bmx-trees,960x640,32,10.0,1.0,1007000,279,212,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,2,30,0.001,Fusion6,tanh,10,8,6,,,,,,5,-1,2,24,338.9295918367347,23.00408163265306,0.6741020408163265,4.557182673469388,494.85244897959177,21.293061224489797,0.6420408163265307,6.157779734693879,
breakdance-flare,1280x960,32,10.0,1.0,2202000,880,359,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,2,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,2,24,86.31551020408162,28.808163265306117,0.7779387755102041,27.20561206122449,245.81326530612245,24.260612244897963,0.6324285714285713,2.4349856734693875,
bmx-bumps,960x1280,32,10.0,1.0,1968000,294,303,1.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,2,10,0.001,Fusion6,tanh,1,8,6,,,,,,10,-1,2,24,747.2595918367347,19.77979591836735,0.7245510204081632,4.391803530612245,762.4077551020409,19.64265306122449,0.7243469387755103,4.789807836734695,
bear,960x960,32,10.0,1.0,1493000,243,241,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,2,10,0.0001,Fusion6,tanh,3,8,6,,,,,,10,-1,4,24,591.5418367346939,20.414081632653062,0.5642857142857143,5.950925367346939,660.9967346938776,19.933673469387756,0.5630000000000001,6.513398204081632,
blackswan,1600x640,64,10.0,1.0,1493000,375,267,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,2,30,0.01,Fusion6,tanh,3,8,6,,,,,,5,-1,4,24,423.1802040816326,21.891632653061226,0.7075714285714285,2.174570857142857,527.9589795918367,20.917755102040818,0.6963265306122448,3.3376689183673465,
bear,1600x960,64,10.0,0.5,2202000,609,372,1.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,2,30,0.001,Fusion6,tanh,1,8,6,,,,,,10,-1,4,24,236.56693877551018,24.431224489795916,0.6780816326530612,5.264041734693877,456.4955102040816,21.584897959183674,0.6173469387755103,2.94348981632653,
hike,960x640,64,10.0,1.0,510000,508,159,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,2,100,0.0001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,359.9048979591837,22.5734693877551,0.5577551020408164,3.7478292857142854,635.8438775510203,20.105102040816327,0.5264897959183674,4.402891612244898,
lucia,1600x640,32,10.0,0.0,1968000,438,323,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,2,30,0.001,Fusion6,tanh,3,8,6,,,,,,10,-1,2,24,256.03183673469385,24.0565306122449,0.6196326530612245,11.414238428571428,419.119387755102,21.913877551020413,0.5703061224489796,7.62878793877551,
