video_name,scene_number,resolution,square_size,percentage_to_remove,alpha,neighbor_length,ref_stride,subvideo_length,bitrate,server_runtime,client_runtime,mse_ori_mean,psnr_ori_mean,ssim_ori_mean,vmaf_ori_mean,mse_inp_mean,psnr_inp_mean,ssim_inp_mean,vmaf_inp_mean
Tears_of_Steel_4k,3,640x352,16,0.25,0.0,2,2,12,422000,10,29,16.272499999999997,36.169333333333334,0.9381499999999999,64.3874153,35.23566666666666,32.86166666666667,0.92495,57.26828953333334
Tears_of_Steel_4k,3,640x352,16,0.25,0.0,2,2,48,422000,1,33,16.272499999999997,36.169333333333334,0.9381499999999999,64.3874153,35.321999999999996,32.843833333333336,0.9248333333333334,57.280889183333336
Tears_of_Steel_4k,3,640x352,16,0.25,0.0,2,10,12,422000,1,21,16.272499999999997,36.169333333333334,0.9381499999999999,64.3874153,36.24883333333333,32.7725,0.9250666666666665,57.22173680000001
Tears_of_Steel_4k,3,640x352,16,0.25,0.0,2,10,48,422000,1,22,16.272499999999997,36.169333333333334,0.9381499999999999,64.3874153,35.49816666666667,32.838166666666666,0.9250833333333333,57.26661036666666
Tears_of_Steel_4k,3,640x352,16,0.25,0.0,10,2,12,422000,2,20,16.272499999999997,36.169333333333334,0.9381499999999999,64.3874153,34.876666666666665,32.91183333333333,0.9251833333333332,57.27707326666667
Tears_of_Steel_4k,3,640x352,16,0.25,0.0,10,2,48,422000,1,22,16.272499999999997,36.169333333333334,0.9381499999999999,64.3874153,35.038500000000006,32.8895,0.9249166666666665,57.28935268333333
Tears_of_Steel_4k,3,640x352,16,0.25,0.0,10,10,12,422000,1,20,16.272499999999997,36.169333333333334,0.9381499999999999,64.3874153,34.93550000000001,32.90149999999999,0.9251666666666666,57.27448963333334
Tears_of_Steel_4k,3,640x352,16,0.25,0.0,10,10,48,422000,1,20,16.272499999999997,36.169333333333334,0.9381499999999999,64.3874153,34.954,32.903,0.9251333333333333,57.28291323333334
Tears_of_Steel_4k,3,640x352,16,0.25,0.5,2,2,12,422000,4,32,16.27166666666667,36.17549999999999,0.9380833333333334,64.54246186666667,35.770833333333336,32.8435,0.9270833333333334,58.44482893333333
Tears_of_Steel_4k,3,640x352,16,0.25,0.5,2,2,48,422000,1,33,16.27166666666667,36.17549999999999,0.9380833333333334,64.54246186666667,35.615333333333325,32.85383333333333,0.9269,58.44656769999999
Tears_of_Steel_4k,3,640x352,16,0.25,0.5,2,10,12,422000,1,21,16.27166666666667,36.17549999999999,0.9380833333333334,64.54246186666667,35.97216666666667,32.82183333333334,0.9272499999999998,58.417767600000005
Tears_of_Steel_4k,3,640x352,16,0.25,0.5,2,10,48,422000,2,22,16.27166666666667,36.17549999999999,0.9380833333333334,64.54246186666667,35.572,32.85999999999999,0.9271999999999998,58.44188641666666
Tears_of_Steel_4k,3,640x352,16,0.25,0.5,10,2,12,422000,1,19,16.27166666666667,36.17549999999999,0.9380833333333334,64.54246186666667,35.150666666666666,32.9145,0.9272833333333332,58.45075841666665
Tears_of_Steel_4k,3,640x352,16,0.25,0.5,10,2,48,422000,2,22,16.27166666666667,36.17549999999999,0.9380833333333334,64.54246186666667,35.495000000000005,32.883500000000005,0.9270333333333333,58.44803736666667
Tears_of_Steel_4k,3,640x352,16,0.25,0.5,10,10,12,422000,2,20,16.27166666666667,36.17549999999999,0.9380833333333334,64.54246186666667,35.114999999999995,32.91533333333333,0.9274,58.44794705000001
Tears_of_Steel_4k,3,640x352,16,0.25,0.5,10,10,48,422000,2,20,16.27166666666667,36.17549999999999,0.9380833333333334,64.54246186666667,35.19866666666667,32.910833333333336,0.9273166666666667,58.448350133333335
Tears_of_Steel_4k,3,640x352,16,0.25,1.0,2,2,12,422000,4,30,16.334666666666664,36.153,0.938,64.27834708333333,35.055,32.84133333333333,0.9270833333333334,58.04409799999999
Tears_of_Steel_4k,3,640x352,16,0.25,1.0,2,2,48,422000,1,33,16.334666666666664,36.153,0.938,64.27834708333333,35.07816666666667,32.8395,0.9269833333333332,58.04493681666667
Tears_of_Steel_4k,3,640x352,16,0.25,1.0,2,10,12,422000,1,21,16.334666666666664,36.153,0.938,64.27834708333333,35.16883333333333,32.82566666666667,0.9273666666666667,58.0217378
Tears_of_Steel_4k,3,640x352,16,0.25,1.0,2,10,48,422000,2,22,16.334666666666664,36.153,0.938,64.27834708333333,35.034,32.843,0.9272666666666667,58.04565685
Tears_of_Steel_4k,3,640x352,16,0.25,1.0,10,2,12,422000,2,19,16.334666666666664,36.153,0.938,64.27834708333333,34.74766666666667,32.88966666666666,0.9272833333333335,58.059497533333335
Tears_of_Steel_4k,3,640x352,16,0.25,1.0,10,2,48,422000,1,23,16.334666666666664,36.153,0.938,64.27834708333333,34.98766666666667,32.86216666666666,0.9270166666666667,58.055171300000005
Tears_of_Steel_4k,3,640x352,16,0.25,1.0,10,10,12,422000,2,19,16.334666666666664,36.153,0.938,64.27834708333333,34.65916666666667,32.892500000000005,0.9273166666666667,58.05907311666668
Tears_of_Steel_4k,3,640x352,16,0.25,1.0,10,10,48,422000,1,20,16.334666666666664,36.153,0.938,64.27834708333333,34.732166666666664,32.888333333333335,0.92725,58.05989348333334
Tears_of_Steel_4k,3,640x352,16,0.5,0.0,2,2,12,283000,3,30,22.371500000000005,34.775999999999996,0.9266666666666665,54.886514566666655,106.72350000000002,28.007166666666663,0.9008166666666667,44.86325598333333
Tears_of_Steel_4k,3,640x352,16,0.5,0.0,2,2,48,283000,1,33,22.371500000000005,34.775999999999996,0.9266666666666665,54.886514566666655,99.4875,28.300999999999995,0.9005166666666665,44.90943821666666
Tears_of_Steel_4k,3,640x352,16,0.5,0.0,2,10,12,283000,2,20,22.371500000000005,34.775999999999996,0.9266666666666665,54.886514566666655,113.41366666666666,27.84550000000001,0.9013500000000001,44.73990898333333
Tears_of_Steel_4k,3,640x352,16,0.5,0.0,2,10,48,283000,2,22,22.371500000000005,34.775999999999996,0.9266666666666665,54.886514566666655,100.807,28.265166666666673,0.9016500000000001,44.81872176666668
Tears_of_Steel_4k,3,640x352,16,0.5,0.0,10,2,12,283000,2,20,22.371500000000005,34.775999999999996,0.9266666666666665,54.886514566666655,103.37716666666667,28.18233333333333,0.9020166666666666,44.86161741666667
Tears_of_Steel_4k,3,640x352,16,0.5,0.0,10,2,48,283000,2,22,22.371500000000005,34.775999999999996,0.9266666666666665,54.886514566666655,98.23966666666666,28.397,0.9012333333333333,44.91078734999999
Tears_of_Steel_4k,3,640x352,16,0.5,0.0,10,10,12,283000,1,20,22.371500000000005,34.775999999999996,0.9266666666666665,54.886514566666655,105.08833333333334,28.1095,0.9019833333333332,44.85470483333334
Tears_of_Steel_4k,3,640x352,16,0.5,0.0,10,10,48,283000,1,20,22.371500000000005,34.775999999999996,0.9266666666666665,54.886514566666655,101.70016666666666,28.23733333333333,0.9021166666666666,44.86064781666667
Tears_of_Steel_4k,3,640x352,16,0.5,0.5,2,2,12,283000,4,31,22.151000000000003,34.828833333333336,0.9269833333333332,55.491957533333334,109.52883333333332,27.90066666666667,0.9022666666666669,46.361803349999995
Tears_of_Steel_4k,3,640x352,16,0.5,0.5,2,2,48,283000,1,33,22.151000000000003,34.828833333333336,0.9269833333333332,55.491957533333334,107.09933333333333,27.967166666666667,0.9017166666666667,46.37451548333332
Tears_of_Steel_4k,3,640x352,16,0.5,0.5,2,10,12,283000,2,20,22.151000000000003,34.828833333333336,0.9269833333333332,55.491957533333334,115.0055,27.762833333333333,0.9031333333333333,46.25761106666666
Tears_of_Steel_4k,3,640x352,16,0.5,0.5,2,10,48,283000,1,22,22.151000000000003,34.828833333333336,0.9269833333333332,55.491957533333334,104.17133333333335,28.093000000000004,0.9030833333333333,46.32435195
Tears_of_Steel_4k,3,640x352,16,0.5,0.5,10,2,12,283000,2,20,22.151000000000003,34.828833333333336,0.9269833333333332,55.491957533333334,105.02683333333334,28.139,0.9038833333333333,46.372034616666674
Tears_of_Steel_4k,3,640x352,16,0.5,0.5,10,2,48,283000,1,24,22.151000000000003,34.828833333333336,0.9269833333333332,55.491957533333334,102.99683333333336,28.1735,0.9029000000000001,46.406453733333336
Tears_of_Steel_4k,3,640x352,16,0.5,0.5,10,10,12,283000,2,20,22.151000000000003,34.828833333333336,0.9269833333333332,55.491957533333334,105.69116666666665,28.087999999999997,0.9039000000000001,46.36501175
Tears_of_Steel_4k,3,640x352,16,0.5,0.5,10,10,48,283000,1,20,22.151000000000003,34.828833333333336,0.9269833333333332,55.491957533333334,102.34866666666667,28.195166666666672,0.9039666666666667,46.38421661666667
Tears_of_Steel_4k,3,640x352,16,0.5,1.0,2,2,12,283000,3,30,22.247833333333336,34.80466666666667,0.9268666666666666,55.26340964999999,109.49016666666667,27.900666666666663,0.9025833333333335,46.7416827
Tears_of_Steel_4k,3,640x352,16,0.5,1.0,2,2,48,283000,2,32,22.247833333333336,34.80466666666667,0.9268666666666666,55.26340964999999,105.13783333333335,28.048166666666667,0.9019333333333333,46.76304751666666
Tears_of_Steel_4k,3,640x352,16,0.5,1.0,2,10,12,283000,1,22,22.247833333333336,34.80466666666667,0.9268666666666666,55.26340964999999,111.94766666666666,27.84383333333334,0.9036500000000002,46.64359411666666
