video_name,scene_number,resolution,square_size,blocks_to_remove,alpha,neighbor_length,ref_stride,subvideo_length,bitrate,server_runtime,client_runtime,mse_ori_mean,psnr_ori_mean,ssim_ori_mean,vmaf_ori_mean,mse_inp_mean,psnr_inp_mean,ssim_inp_mean,vmaf_inp_mean
Tears_of_Steel_4k,3,1920x1080,16,30,0.5,2,2,10,3567000,9,150,4.271833333333333,42.13833333333333,0.9735666666666667,98.08845843333333,244.47349999999997,24.6805,0.8452999999999999,11.805561149999999
Tears_of_Steel_4k,3,1920x1080,16,30,0.5,2,2,11,3567000,1,139,4.271833333333333,42.13833333333333,0.9735666666666667,98.08845843333333,244.4028333333334,24.680999999999997,0.8452999999999999,11.829780116666667
Tears_of_Steel_4k,3,1920x1080,16,30,0.5,2,2,10,3567000,9,151,4.272333333333333,42.13416666666668,0.9735166666666667,98.07082761666666,132.95083333333332,27.1135,0.9555166666666665,91.9252599
Tears_of_Steel_4k,3,1920x1072,16,30,0.5,2,2,10,3567000,10,148,4.593666666666667,41.74550000000001,0.9734499999999999,98.02175860000003,19.146833333333333,35.458666666666666,0.9603499999999999,93.14409133333334
Tears_of_Steel_4k,3,1920x1072,16,60,0.5,2,2,10,2445000,8,156,5.780500000000001,40.79583333333333,0.9675166666666665,95.49819761666667,103.69049999999999,28.275333333333332,0.9333833333333335,81.72494053333334
Tears_of_Steel_4k,3,1920x1072,16,50,0.5,2,2,10,2826000,9,152,5.292166666666668,41.15966666666667,0.9698333333333333,96.64091485,46.79416666666667,31.720166666666668,0.9471999999999999,86.14691676666665
Tears_of_Steel_4k,3,1920x1072,16,50,0.5,2,2,10,2826000,10,152,5.294500000000001,41.15616666666667,0.9698166666666667,96.64372823333333,46.81000000000001,31.714499999999997,0.9472333333333334,86.20039494999999
Tears_of_Steel_4k,3,1920x1072,16,50,0.5,2,2,10,2826000,22,174,5.2875,41.165166666666664,0.9698666666666667,96.67851263333334,47.10333333333333,31.67283333333334,0.9470666666666666,86.19091751666666
Tears_of_Steel_4k,3,1920x1072,16,50,0.5,2,2,10,2826000,20,178,5.284166666666667,41.160833333333336,0.9698833333333333,96.66783106666666,42.36966666666665,32.121,0.9473666666666667,86.74959133333333
Tears_of_Steel_4k,3,1280x720,16,50,0.5,2,2,10,853000,15,74,10.478833333333332,38.166500000000006,0.9518500000000001,81.29770669999999,242.05933333333334,24.53366666666666,0.8960833333333333,62.20493606666667
Tears_of_Steel_4k,3,1280x720,16,25,0.5,2,2,10,1538000,7,71,6.803833333333334,40.0085,0.9645333333333332,91.59695106666668,26.14933333333333,34.15666666666666,0.9484333333333334,82.55105941666667
Tears_of_Steel_4k,3,640x352,16,15,0.5,2,2,10,353000,9,31,18.746666666666663,35.557166666666674,0.9333000000000002,60.11711776666667,59.53633333333333,30.658333333333335,0.9174166666666667,52.77335236666667
Tears_of_Steel_4k,3,640x352,16,15,0.5,10,10,100,353000,1,21,18.746666666666663,35.557166666666674,0.9333000000000002,60.11711776666667,58.175,30.782166666666665,0.9177,52.8109027
Tears_of_Steel_4k,3,960x540,20,15,0.5,10,10,100,879000,10,40,10.026166666666667,38.344500000000004,0.9540666666666666,80.54062140000002,35.641,32.891000000000005,0.9321833333333334,70.41394366666667
Tears_of_Steel_4k,3,640x352,16,10,0.0,2,2,12,422000,9,48,16.31783333333333,36.16449999999999,0.9381666666666665,64.22704441666666,35.72133333333333,32.817,0.92495,56.851723650000004
Tears_of_Steel_4k,3,640x352,16,10,0.0,2,2,48,422000,2,63,16.31783333333333,36.16449999999999,0.9381666666666665,64.22704441666666,35.81816666666667,32.798833333333334,0.9248166666666665,56.859413249999996
Tears_of_Steel_4k,3,640x352,16,10,0.0,2,10,12,422000,1,30,16.31783333333333,36.16449999999999,0.9381666666666665,64.22704441666666,36.545833333333334,32.7445,0.9251166666666666,56.80829746666666
Tears_of_Steel_4k,3,640x352,16,10,0.0,2,10,48,422000,2,25,16.31783333333333,36.16449999999999,0.9381666666666665,64.22704441666666,35.939499999999995,32.80133333333334,0.9250333333333333,56.84380501666667
Tears_of_Steel_4k,3,640x352,16,10,0.0,10,2,12,422000,2,28,16.31783333333333,36.16449999999999,0.9381666666666665,64.22704441666666,35.29183333333333,32.86733333333333,0.9251333333333333,56.85668738333333
Tears_of_Steel_4k,3,640x352,16,10,0.0,10,2,48,422000,1,32,16.31783333333333,36.16449999999999,0.9381666666666665,64.22704441666666,35.487833333333334,32.845,0.9248999999999999,56.86851278333334
Tears_of_Steel_4k,3,640x352,16,10,0.0,10,10,12,422000,1,29,16.31783333333333,36.16449999999999,0.9381666666666665,64.22704441666666,35.43466666666667,32.8515,0.9251833333333332,56.85411261666666
Tears_of_Steel_4k,3,640x352,16,10,0.0,10,10,48,422000,1,30,16.31783333333333,36.16449999999999,0.9381666666666665,64.22704441666666,35.3115,32.86716666666667,0.9251166666666665,56.862728783333324
Tears_of_Steel_4k,3,640x352,16,10,0.5,2,2,12,422000,3,46,16.30616666666667,36.1675,0.9380666666666667,64.24949775,36.007666666666665,32.79666666666666,0.9267166666666669,58.46012651666667
Tears_of_Steel_4k,3,640x352,16,10,0.5,2,2,48,422000,1,59,16.30616666666667,36.1675,0.9380666666666667,64.24949775,35.882,32.800666666666665,0.9266000000000001,58.46307105
Tears_of_Steel_4k,3,640x352,16,10,0.5,2,10,12,422000,2,31,16.30616666666667,36.1675,0.9380666666666667,64.24949775,36.35616666666666,32.76,0.9269333333333335,58.42829215000002
