video_name,scene_number,resolution,square_size,horizontal_stride,vertical_stride,neighbor_length,ref_stride,subvideo_length,bitrate,mse_ori_mean,psnr_ori_mean,ssim_ori_mean,vmaf_ori_mean,mse_inp_mean,psnr_inp_mean,ssim_inp_mean,vmaf_inp_mean
Tears_of_Steel_4k,9,1280x720,16,2,2,2,2,5,585000,35.04549019607843,32.76627450980393,0.886843137254902,58.81439241176471,180.1403921568628,25.64039215686274,0.7548823529411766,22.579038490196076
Tears_of_Steel_4k,9,1920x1080,16,2,2,2,2,5,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,258.7629411764706,24.271176470588237,0.7274509803921569,13.450044784313725
Tears_of_Steel_4k,9,1920x1080,16,2,2,2,2,10,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,258.30901960784314,24.26686274509804,0.7281176470588235,13.55935750980392
Tears_of_Steel_4k,9,1920x1080,16,2,2,2,2,15,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,256.63039215686274,24.297058823529408,0.7296274509803923,13.562468215686275
Tears_of_Steel_4k,9,1920x1080,16,2,2,2,3,5,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,259.2956862745098,24.2621568627451,0.7277843137254901,13.374510137254902
Tears_of_Steel_4k,9,1920x1080,16,2,2,2,3,10,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,257.1847058823529,24.29019607843137,0.7289215686274508,13.344178803921569
Tears_of_Steel_4k,9,1920x1080,16,2,2,2,3,15,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,256.0996078431373,24.302941176470586,0.7303921568627451,13.457554450980387
Tears_of_Steel_4k,9,1920x1080,16,2,2,2,5,5,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,259.2956862745098,24.2621568627451,0.7277843137254901,13.374510137254902
Tears_of_Steel_4k,9,1920x1080,16,2,2,2,5,10,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,255.66294117647058,24.311176470588236,0.7302352941176471,13.375672196078431
Tears_of_Steel_4k,9,1920x1080,16,2,2,2,5,15,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,255.58490196078424,24.312156862745095,0.7303529411764705,13.37495280392157
Tears_of_Steel_4k,9,1920x1080,16,2,2,2,5,25,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,255.64117647058822,24.309019607843137,0.7305882352941178,13.493355862745101
Tears_of_Steel_4k,9,1920x1080,16,2,2,2,10,5,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,259.2956862745098,24.2621568627451,0.7277843137254901,13.374510137254902
Tears_of_Steel_4k,9,1920x1080,16,2,2,2,10,10,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,259.3754901960785,24.260392156862746,0.7276470588235294,13.390219235294117
Tears_of_Steel_4k,9,1920x1080,16,2,2,2,10,15,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,259.3805882352941,24.260196078431374,0.7277450980392156,13.398360882352941
Tears_of_Steel_4k,9,1920x1080,16,2,2,2,10,25,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,256.50392156862745,24.30058823529412,0.7288627450980393,13.36299592156863
Tears_of_Steel_4k,9,1920x1080,16,2,2,2,10,50,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,257.1017647058824,24.289019607843137,0.7285882352941176,13.438899607843137
Tears_of_Steel_4k,9,1920x1080,16,2,2,3,2,5,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,258.7629411764706,24.271176470588237,0.7274509803921569,13.450044784313725
Tears_of_Steel_4k,9,1920x1080,16,2,2,3,2,10,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,258.30901960784314,24.26686274509804,0.7281176470588235,13.55935750980392
Tears_of_Steel_4k,9,1920x1080,16,2,2,3,2,15,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,256.63039215686274,24.297058823529408,0.7296274509803923,13.562468215686275
Tears_of_Steel_4k,9,1920x1080,16,2,2,3,3,5,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,259.2956862745098,24.2621568627451,0.7277843137254901,13.374510137254902
Tears_of_Steel_4k,9,1920x1080,16,2,2,3,3,10,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,257.1847058823529,24.29019607843137,0.7289215686274508,13.344178803921569
Tears_of_Steel_4k,9,1920x1080,16,2,2,3,3,15,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,256.0996078431373,24.302941176470586,0.7303921568627451,13.457554450980387
Tears_of_Steel_4k,9,1920x1080,16,2,2,3,5,5,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,259.2956862745098,24.2621568627451,0.7277843137254901,13.374510137254902
Tears_of_Steel_4k,9,1920x1080,16,2,2,3,5,10,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,255.66294117647058,24.311176470588236,0.7302352941176471,13.375672196078431
Tears_of_Steel_4k,9,1920x1080,16,2,2,3,5,15,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,255.58490196078424,24.312156862745095,0.7303529411764705,13.37495280392157
Tears_of_Steel_4k,9,1920x1080,16,2,2,3,5,25,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,255.64117647058822,24.309019607843137,0.7305882352941178,13.493355862745101
Tears_of_Steel_4k,9,1920x1080,16,2,2,3,10,5,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,259.2956862745098,24.2621568627451,0.7277843137254901,13.374510137254902
Tears_of_Steel_4k,9,1920x1080,16,2,2,3,10,10,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,259.3754901960785,24.260392156862746,0.7276470588235294,13.390219235294117
Tears_of_Steel_4k,9,1920x1080,16,2,2,3,10,15,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,259.3805882352941,24.260196078431374,0.7277450980392156,13.398360882352941
Tears_of_Steel_4k,9,1920x1080,16,2,2,3,10,50,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,257.1017647058824,24.289019607843137,0.7285882352941176,13.438899607843137
Tears_of_Steel_4k,9,1920x1080,16,2,2,5,2,5,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,257.28901960784316,24.29627450980392,0.7287450980392156,13.716826098039219
Tears_of_Steel_4k,9,1920x1080,16,2,2,5,2,10,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,256.218431372549,24.309411764705892,0.7293333333333333,13.736999176470588
Tears_of_Steel_4k,9,1920x1080,16,2,2,5,2,15,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,256.0486274509804,24.310980392156864,0.7300784313725489,13.808558254901962
Tears_of_Steel_4k,9,1920x1080,16,2,2,5,3,5,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,257.28901960784316,24.29627450980392,0.7287450980392156,13.716826098039219
Tears_of_Steel_4k,9,1920x1080,16,2,2,5,3,10,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,256.8974509803922,24.30137254901961,0.7283529411764704,13.726384333333334
Tears_of_Steel_4k,9,1920x1080,16,2,2,5,3,15,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,256.0264705882353,24.31137254901961,0.7294313725490196,13.826820627450982
Tears_of_Steel_4k,9,1920x1080,16,2,2,5,5,5,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,257.28901960784316,24.29627450980392,0.7287450980392156,13.716826098039219
